file;;row;;col;;error;;analyzer
internal/action/rawpane.go;;30;;2;;singleCaseSwitch: should rewrite switch statement to if statement;;(gocritic)
internal/action/tab.go;;220;;2;;singleCaseSwitch: should rewrite switch statement to if statement;;(gocritic)
cmd/micro/micro.go;;244;;4;;exitAfterDefer: log.Fatal will exit, and `defer func(){...}(...)` will not run;;(gocritic)
pkg/highlight/ftdetect.go;;7;;71;;Comment should end in a period;;(godot)
pkg/highlight/highlighter.go;;43;;70;;Comment should end in a period;;(godot)
pkg/highlight/highlighter.go;;67;;54;;Comment should end in a period;;(godot)
internal/buffer/buffer.go;;996;;996;;internal/buffer/buffer.go:996: Line contains TODO/BUG/FIXME: "TODO: maybe can be more efficient with u...";;(godox)
internal/info/infobuffer.go;;90;;90;;internal/info/infobuffer.go:90: Line contains TODO/BUG/FIXME: "TODO: add to log?";;(godox)
internal/display/infowindow.go;;184;;184;;internal/display/infowindow.go:184: Line contains TODO/BUG/FIXME: "TODO: maybe make this based on the actua...";;(godox)
internal/action/bufpane.go;;92;;92;;internal/action/bufpane.go:92: Line contains TODO/BUG/FIXME: "TODO: fix problem when complex bindings ...";;(godox)
internal/action/bufpane.go;;170;;170;;internal/action/bufpane.go:170: Line contains TODO/BUG/FIXME: "TODO";;(godox)
internal/action/bufpane.go;;178;;178;;internal/action/bufpane.go:178: Line contains TODO/BUG/FIXME: "TODO";;(godox)
internal/action/bufpane.go;;568;;568;;internal/action/bufpane.go:568: Line contains TODO/BUG/FIXME: "TODO";;(godox)
internal/action/bufpane.go;;584;;584;;internal/action/bufpane.go:584: Line contains TODO/BUG/FIXME: "TODO";;(godox)
internal/action/infopane.go;;44;;44;;internal/action/infopane.go:44: Line contains TODO/BUG/FIXME: "TODO: map mouse";;(godox)
internal/action/termpane.go;;49;;49;;internal/action/termpane.go:49: Line contains TODO/BUG/FIXME: "TODO: map mouse";;(godox)
cmd/micro/micro_test.go;;332;;332;;cmd/micro/micro_test.go:332: Line contains TODO/BUG/FIXME: "TODO";;(godox)
cmd/micro/micro_test.go;;336;;336;;cmd/micro/micro_test.go:336: Line contains TODO/BUG/FIXME: "TODO";;(godox)
pkg/highlight/parser.go;;17;;-1;;File is not `gofumpt`-ed;;(gofumpt)
internal/views/splits.go;;163;;-1;;File is not `gofumpt`-ed;;(gofumpt)
internal/lua/lua.go;;29;;-1;;File is not `gofumpt`-ed;;(gofumpt)
internal/views/splits.go;;347;;9;;`if` block ends with a `return` statement, so drop this `else` and outdent its block;;(golint)
internal/views/splits.go;;383;;9;;`if` block ends with a `return` statement, so drop this `else` and outdent its block;;(golint)
